ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг,Рішення
Ольга Ярославіш,False,195,195,192,194.1,зараховано
Олег Іриниш,False,182,199,200,192.5,зараховано
Олександр Максиміш,False,192,199,186,192.3,зараховано
Ярослав Неборачко,False,188,189,200,191.9,зараховано
Олег Катериниш,False,193,197,183,191.20000000000002,зараховано
Богдан Людмилиш,False,193,197,183,191.20000000000002,зараховано
Анастасія Алібіба,False,188,200,184,190.39999999999998,зараховано
Людмила Романіш,False,190,185,192,189.1,зараховано
Тарас Дмитришенко,False,196,176,192,188.79999999999998,зараховано
Олександр Олексіїш,False,195,177,192,188.7,зараховано
Олександр Вікторіш,False,194,200,167,187.70000000000002,зараховано
Марія Богданіш,False,191,190,180,187.4,зараховано
Юлія Олениш,False,188,188,182,186.2,зараховано
Роман Оксаниш,False,171,198,193,185.70000000000002,зараховано
Тетяна Людмилиш,False,196,185,172,185.5,зараховано
Ольга Загвойко,False,197,180,175,185.3,зараховано
Андрій Тетяниш,False,193,178,182,185.2,зараховано
Артем Оксаниш,False,171,199,190,185.1,зараховано
Наталія Лідіїш,False,169,193,197,184.6,зараховано
Олександр Андріїш,False,172,197,188,184.29999999999998,зараховано
Ірина Алібіба,False,188,186,175,183.5,зараховано
Роман Олегіш,False,187,185,176,183.10000000000002,зараховано
Софія Ігоріш,False,163,198,192,182.2,зараховано
Ярослава Богданіш,False,190,165,189,182.2,зараховано
Тетяна Маріїш,False,157,200,195,181.3,зараховано
Олександр Маріїш,False,193,179,166,180.7,зараховано
Артем Володимириш,False,174,176,194,180.6,зараховано
Михайло Тарасіш,False,184,190,164,179.8,зараховано
Ігор Олегіш,False,163,195,187,179.8,зараховано
Ігор Петріш,False,188,159,189,179.6,зараховано
Вікторія Наталіїш,False,178,182,179,179.5,зараховано
Сергій Сергіїш,False,182,159,196,179.3,зараховано
Анатолій Лідіїш,False,200,161,170,179.3,зараховано
Ніна Анниш,False,187,162,186,179.2,зараховано
Ганна Оксаниш,False,190,195,149,179.2,зараховано
Артем Олександріш,False,169,178,192,178.6,зараховано
Максим Олегіш,True,190,165,177,178.6,зараховано
Віктор Сергіїш,True,177,167,192,178.5,зараховано
Роман Лідіїш,True,174,186,177,178.5,зараховано
Ілля Олениш,True,192,150,189,178.5,зараховано
Ілля Іриниш,True,194,158,178,178.4,зараховано
Марта Романіш,True,155,195,193,178.4,зараховано
Петро Неборачко,False,170,182,186,178.39999999999998,зараховано
Ірина Вікторіш,True,192,156,182,178.20000000000002,зараховано
Ніна Людмилиш,True,173,197,166,178.10000000000002,зараховано
Ілля Андріїш,True,191,199,140,178.1,зараховано
Петро Людмилиш,False,197,197,134,178.1,зараховано
Андрій Людмилиш,False,184,148,200,178.0,зараховано
Анатолій Іванниш,False,195,178,155,177.9,зараховано
Максим Ілляш,True,165,182,191,177.89999999999998,зараховано
Віктор Олексіїш,True,194,157,177,177.8,зараховано
Михайло Наталіїш,False,193,136,199,177.7,зараховано
Людмила Людмилиш,False,162,177,198,177.3,зараховано
Володимир Ілляш,False,186,186,157,177.29999999999998,зараховано
Дмитро Богданіш,True,151,199,190,177.1,зараховано
Андрій Володимириш,False,160,181,195,176.8,зараховано
Ганна Богданіш,False,195,166,163,176.7,зараховано
Ольга Людмилиш,False,183,175,170,176.7,зараховано
Володимир Анниш,False,179,167,183,176.60000000000002,зараховано
Олексій Софіїш,True,194,138,192,176.6,зараховано
Тарас Артеміш,True,187,154,185,176.5,зараховано
Вікторія Дмитришенко,False,184,197,146,176.5,зараховано
Дмитро Дмитришенко,False,180,162,186,176.39999999999998,зараховано
Олег Олексіїш,True,166,171,195,176.2,зараховано
Марія Сергіїш,True,198,187,136,176.10000000000002,зараховано
Володимир Володимириш,False,189,174,161,176.10000000000002,зараховано
Олександр Романіш,False,165,177,190,176.1,зараховано
Ольга Тетяниш,True,156,190,189,176.1,зараховано
Марія Олексіїш,False,197,141,183,176.0,зараховано
Володимир Ніниш,True,169,198,163,175.9,зараховано
Артем Іриниш,False,198,167,155,175.8,зараховано
Іванна Артеміш,True,185,176,163,175.7,зараховано
Анастасія Іваниш,False,142,199,197,175.6,зараховано
Юлія Вікторіш,True,162,184,185,175.5,зараховано
Анастасія Богданіш,True,164,174,192,175.4,зараховано
Оксана Тетяниш,False,176,195,155,175.4,зараховано
Вікторія Вікторіїш,False,142,198,197,175.3,зараховано
