ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг
Олег Олениш,False,196,188,197,193.9
Ілля Ілляш,False,191,200,190,193.4
Тетяна Загвойко,False,191,186,195,190.7
Катерина Ілляш,False,197,183,189,190.4
Софія Ніниш,False,197,185,180,188.3
Віктор Володимириш,False,184,188,193,187.9
Володимир Наталіїш,False,192,169,199,187.2
Анастасія Іриниш,False,184,194,184,187.0
Тетяна Лідіїш,False,195,175,187,186.6
Анатолій Маріїш,False,196,182,176,185.8
Катерина Ганниш,False,178,184,196,185.2
Павло Сергіїш,False,189,194,171,185.1
Лідія Вікторіш,False,176,185,197,185.0
Іванна Романіш,False,188,171,195,185.0
Роман Іриниш,False,177,193,186,184.5
Ярослав Анатоліїш,False,194,174,181,184.1
Оксана Ярославіш,False,196,192,160,184.0
Петро Романіш,False,200,199,147,183.8
Анастасія Іванниш,False,189,187,173,183.6
Ольга Михайлиш,False,179,178,195,183.5
Петро Загвойко,False,182,188,178,182.6
Катерина Богданіш,False,159,197,199,182.4
Ілля Романіш,False,175,192,181,181.9
Роман Загвойко,False,189,161,193,181.8
Артем Анниш,False,189,182,171,181.5
Ніна Людмилиш,False,195,182,163,181.5
Володимир Загвойко,False,200,177,158,180.5
Володимир Анатоліїш,False,174,195,174,180.3
Анна Вікторіїш,False,183,160,197,180.3
Тарас Максиміш,False,192,195,149,180.0
Марія Максиміш,False,197,170,167,179.9
Ярослава Андріїш,False,194,189,152,179.9
Лідія Наталіїш,False,194,198,143,179.9
Ярослава Наталіїш,False,166,180,197,179.5
Тетяна Ярославіш,False,192,152,190,179.4
Анастасія Ковтун,False,161,199,184,179.29999999999998
Дмитро Ігоріш,False,183,174,179,179.1
Максим Іриниш,False,156,195,191,178.2
Олена Ярославиш,False,194,155,180,178.10000000000002
Анастасія Алібіба,False,200,136,191,178.1
Тарас Ярославіш,False,165,172,200,177.6
Роман Дмитріш,False,180,171,180,177.3
Іванна Володимириш,False,191,161,175,177.2
Михайло Михайлиш,False,199,196,129,177.1
Іван Ніниш,False,175,157,200,177.1
Олексій Вікторіш,False,185,173,170,176.9
Іванна Оксаниш,False,165,180,188,176.4
Олексій Неборачко,False,198,159,165,176.4
Олена Олениш,True,154,195,187,176.2
Ганна Неборачко,True,145,194,200,176.2
Анна Іваниш,False,169,198,164,176.2
Михайло Ігоріш,True,153,186,196,175.8
Олександр Алібіба,True,159,193,181,175.8
Наталія Михайлиш,True,166,187,177,175.6
Анатолій Загвойко,False,197,156,166,175.4
Тарас Анниш,False,197,193,128,175.10000000000002
Анна Катериниш,True,185,163,174,175.1
Оксана Ігоріш,True,172,196,158,175.0
Ольга Володимириш,False,181,149,193,175.0
Іван Сергіїш,True,190,134,196,175.0
Оксана Артеміш,False,179,198,146,174.8
Артем Вікторіїш,False,175,155,194,174.7
Анна Андріїш,False,189,184,146,174.60000000000002
Олена Андріїш,True,156,174,200,174.6
Іван Людмилиш,False,156,189,185,174.6
Ольга Богданіш,True,184,182,154,174.4
Катерина Вікторіїш,False,140,196,198,174.2
Петро Товтиш,True,200,193,121,174.2
Юлія Ганниш,False,199,129,186,174.10000000000002
Ярослава Катериниш,True,170,154,199,173.89999999999998
Наталія Товтиш,True,191,164,161,173.89999999999998
Юлія Володимириш,False,169,163,191,173.8
Петро Іванниш,False,196,147,171,173.8
Володимир Ярославиш,False,181,174,164,173.79999999999998
Лідія Тарасіш,False,198,198,117,173.7
Марія Тарасіш,False,177,184,159,173.7
Вікторія Ігоріш,True,162,192,171,173.7
Ніна Анатоліїш,True,161,171,193,173.6
Михайло Тетяниш,False,151,197,180,173.5
Анатолій Андріїш,False,184,134,199,173.5
Іван Олениш,True,198,181,133,173.4
Артем Дмитріш,False,197,178,137,173.3
Тетяна Ніниш,True,155,176,195,173.3
